Rank,Player,Nation,Position,Squad,Age,Year of Birth,Matches Played,Starts,Minutes,Minutes Played Divided By 90,Goals,Assists,Goals and Assists,Non-penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,Goals and Assists per 90,Non-penalty Goals per 90,Goals and Assists minus Penalty Kicks per 90
13,Samad Ali Mallick,inIND,DF,Mohammedan,29.0,1994.0,6,2,255,2.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
14,Rahim Ali,inIND,"DF,MF",Odisha,24.0,2000.0,22,12,1253,13.9,2,0,2,2,0,0,2,0,0.14,0.0,0.14,0.14,0.14
15,CK Aman,inIND,FW,East Bengal,21.0,2003.0,5,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
16,Marc Andre Schmerböck,atAUT,"MF,FW",Mohammedan,30.0,1994.0,6,2,211,2.3,1,0,1,1,0,0,0,0,0.43,0.0,0.43,0.43,0.43
17,Wahengbam Angousana Luwang,inIND,MF,Mohammedan,28.0,1996.0,9,2,190,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
18,Aniket Anil Jadhav,inIND,MF,Jamshedpur,24.0,2000.0,7,1,217,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
19,Lalengmawia Apuia,inIND,MF,Mohun Bagan,23.0,2000.0,20,20,1760,19.6,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0
20,Mohammed Arshaf,inIND,MF,NorthEast Utd,20.0,2004.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21,Melroy Assisi,inIND,DF,Punjab,25.0,1998.0,8,5,388,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
22,Leon Augustine,inIND,"DF,MF",Punjab,25.0,1998.0,20,9,1024,11.4,1,0,1,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09
